vehicle_id,company_id,vehicle_number_plate,vehicle_date_of_first_km,vehicle_seats_count,vehicle_standing_count,vehicle_co2_emission
237,12,DD-033-RA,20081013,61,0,,
239,12,DD-045-RA,20090123,61,0,,
240,12,AC-405-LE,20090818,61,0,,
241,12,AC-417-LE,20090817,61,0,,
2024,4,2658-ZZ-49,20021213,59,0,,
243,12,AC-798-NT,20090826,59,0,,
244,12,AC-826-NT,20090826,59,0,,
245,12,AC-873-NT,20090826,59,0,,
2067,4,DJ-151-NV,20070115,59,0,,
247,12,AC-024-NV,20090826,59,0,,
248,12,AC-109-NV,20090826,59,0,,
249,12,AC-155-NV,20090826,59,0,,
250,12,AC-192-NV,20090826,59,0,,
2050,4,DJ-155-NV,20060808,59,0,,
242,12,AC-694-NT,20090826,59,0,,
257,12,AW-504-FR,20100705,57,0,,
256,12,AW-247-HT,20100706,57,0,,
2081,4,DJ-147-XR,20080319,33,0,,
2082,4,DJ-136-NV,20080403,55,0,,
259,12,AX-874-NN,20100728,61,0,,
2039,4,CT-470-TX,20041005,59,0,,
263,12,BS-794-PG,20110809,59,0,,
264,12,BS-450-QB,20110810,59,0,,
2211,4,CP-901-NM,20130107,59,0,,
2085,4,CM-310-ZW,20081016,57,0,,
268,12,BT-710-LW,20110901,63,0,,
269,12,BT-771-LW,20110901,63,0,,
2210,4,CK-762-GN,20120831,59,0,,
271,12,BT-424-WN,20110912,29,0,,
272,12,BT-980-WN,20110912,29,0,,
277,12,BX-143-AF,20111028,59,0,,
275,12,BW-056-YY,20111027,63,0,,
276,12,BW-108-YY,20111027,63,0,,
278,12,BX-199-AF,20111028,59,0,,
279,12,CD-029-YH,20120412,58,0,,
280,12,CD-127-YH,20120412,58,0,,
283,12,CP-633-YH,20130118,19,0,,
2216,4,BL-975-RV,20110408,63,0,,
2219,4,BW-352-KN,20111015,63,0,,
286,12,CW-031-SF,20130709,59,0,,
287,12,CY-480-EV,20130902,59,0,,
288,12,CY-600-EV,20130902,59,0,,
289,12,CY-187-EK,20130830,33,0,,
290,12,CY-824-EJ,20130830,33,0,,
2120,4,BG-702-BS,20010112,57,0,,
292,12,DD-728-SG,20140307,59,0,,
293,12,DD-071-SH,20140307,59,0,,
294,12,DD-348-SH,20140307,59,0,,
295,12,DD-655-SH,20140307,59,0,,
296,12,DJ-224-PB,20140825,33,0,,
299,12,DV-026-FD,20150825,63,0,,
2022,4,AF-632-FL,20021120,59,0,,
2092,4,AC-840-KC,20090812,59,0,,
2094,4,AC-281-TH,20130823,22,0,,
2093,4,AC-367-PY,20090828,59,0,,
308,12,EH-527-FR,20161202,63,0,,
309,12,EH-761-FR,20161202,63,0,,
2095,4,AC-081-ZW,20090923,59,0,,
311,12,EH-385-NM,20161215,61,0,,
2056,4,5820-ZP-49,20061120,59,0,,
314,12,EP-148-YN,20170821,29,0,,
315,12,EP-253-YN,20170821,29,0,,
319,12,ET-123-GF,20180109,61,0,,
330,12,FG-747-AH,20190509,61,0,,
329,12,FG-545-AH,20190509,61,0,,
328,12,FG-328-AH,20190509,63,0,,
323,12,EZ-634-CS,20180718,63,0,,
324,12,EZ-707-CS,20180718,63,0,,
327,12,FG-179-AH,20190509,63,0,,
527,13,AD-057-HC,20091008,55,0,,
507,13,BF-908-WS,20020531,59,0,,
151,13,455-CKL-44,20160101,63,0,,
504,13,820 ATY 44,20020125,59,0,,
531,13,AZ-546-GF,20020524,59,0,,
509,13,877-BAC-44,20030107,59,0,,
127,13,AZ-673-GF,20160101,63,0,,
152,13,461 CKL 44,20031219,63,0,,
117,13,483-BRJ-44,20051025,63,0,,
532,13,AZ-494-GF,20020813,59,0,,
176,13,BQ-360-JF,20110623,63,0,,
514,13,AF-984-JH,20051114,63,0,,
153,13,458-CKL-44,20031219,63,0,,
535,13,BT-232-AJ,20110822,29,0,,
2054,4,DJ-161-NV,20060928,63,0,,
2052,4,DJ-168-NV,20060908,63,0,,
2042,4,DL-023-MG,20050527,63,0,,
2167,4,DL-038-PC,20141106,63,0,,
2164,4,DL-094-KV,20141031,63,0,,
2079,4,DL-119-DY,20080429,55,0,,
2166,4,DL-208-PC,20141106,63,0,,
2165,4,DL-843-KT,20141031,63,0,,
2174,4,DV-449-JM,20150831,63,0,,
2227,4,DV-729-AW,20150814,22,0,,
2173,4,DV-967-JM,20150831,63,0,,
2084,4,ED-125-FD,20080924,63,0,,
2091,4,EE-119-KC,20090101,59,0,,
2187,4,EF-153-QN,20160929,63,0,,
2185,4,EF-485-KQ,20160922,59,0,,
2186,4,EF-493-KQ,20160922,59,0,,
2184,4,EG-633-MY,20161104,22,0,,
2228,4,FL-364-CH,20191025,63,0,,
2229,4,FL-525-CH,20191025,63,0,,
2230,4,FL-633-CH,20191025,63,0,,
2037,4,CQ-752-RL,20140914,63,0,,
